Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LihatSemuaPengumuman,,,,2023-08-03 16:58:45,2023-08-03 16:59:11,26.558s,PASSED
,,,,,,,
Test Cases/MiMo/TC_01_Login,,,,2023-08-03 16:58:45,2023-08-03 16:59:08,22.531s,PASSED
"startApplication(""C:\Users\LENOVO\Downloads\MiMo.apk"", true)",,,,2023-08-03 16:58:45,2023-08-03 16:59:03,17.540s,PASSED
"setText(findTestObject(""Mimo/android.widget.Username""), ""user003323"", 0)",,,,2023-08-03 16:59:03,2023-08-03 16:59:05,2.631s,PASSED
"setText(findTestObject(""Mimo/android.widget.password""), ""Pass@1234"", 0)",,,,2023-08-03 16:59:05,2023-08-03 16:59:06,1.101s,PASSED
"tap(findTestObject(""Mimo/android.widget.Button - MASUK""), 0)",,,,2023-08-03 16:59:07,2023-08-03 16:59:08,1.012s,PASSED
,,,,,,,
Test Cases/MiMo/TC_02_LihatSemuaPengumuman - Copy,,,,2023-08-03 16:59:08,2023-08-03 16:59:11,3.843s,PASSED
"tap(findTestObject(""Mimo/LihatSemua1""), 0)",,,,2023-08-03 16:59:08,2023-08-03 16:59:11,3.514s,PASSED
